pred_code,prey_code
ACIJUB,AEPMEL
ACIJUB,CONTAU
ACIJUB,MADKIR
ACIJUB,PHAAET
CANMES,MADKIR
CARCAR,MADKIR
CARCAR,PROCAP
CROCRO,AEPMEL
CROCRO,ALCBUS
CROCRO,CONTAU
CROCRO,EQUBUR
CROCRO,MADKIR
CROCRO,PHAAET
PANLEO,AEPMEL
PANLEO,ALCBUS
PANLEO,CONTAU
PANLEO,CROCRO
PANLEO,EQUBUR
PANLEO,GIRCAM
PANLEO,MADKIR
PANLEO,PANLEO
PANLEO,PHAAET
PANLEO,TAUORY
PANPAR,ACIJUB
PANPAR,AEPMEL
PANPAR,ALCBUS
PANPAR,CANMES
PANPAR,CONTAU
PANPAR,EQUBUR
PANPAR,LEPSER
PANPAR,MADKIR
PANPAR,PHAAET
PANPAR,TAUORY
AEPMEL,PLANTS
ALCBUS,PLANTS
CONTAU,PLANTS
EQUBUR,PLANTS
GIRCAM,PLANTS
LOXAFR,PLANTS
MADKIR,PLANTS
PHAAET,PLANTS
PROCAP,PLANTS
TAUORY,PLANTS
